family,n,rep,gain,wins
strong,1,87,0.26838688678742917,0
strong,1,88,0.5988961631615707,0
strong,1,89,1.1504743659741576,0
strong,1,90,0.2556803956951742,0
strong,1,91,0.26487485243931375,0
strong,1,92,0.2608651219630569,0
strong,1,93,0.26487485243931375,0
strong,1,94,1.7713440075148146,0
strong,1,95,1.7630258844676006,0
strong,1,96,0.5104401128702247,1
strong,1,97,0.4445766478753548,1
strong,1,98,0.26768255341218494,0
strong,1,99,1.8125260919905744,0
strong,2,0,0.27593196959576693,0
strong,2,1,0.6191992833697196,0
strong,2,2,0.1788575381204237,0
strong,2,3,0.05163837152529405,4
strong,2,4,0.16444754749084634,1
strong,2,5,0.35060795062825023,0
strong,2,6,0.16532194843486037,0
strong,2,7,0.14594497050949584,2
strong,2,8,0.7475715459697859,0
strong,2,9,0.10950065426593591,2
strong,2,10,0.5806697632468838,1
strong,2,11,0.24498453677185927,0
strong,2,12,1.156611602100023,0
strong,2,13,0.4550431223800169,0
strong,2,14,0.014114360283265737,4
strong,2,15,0.16882798489686768,0
strong,2,16,0.2632484916083808,0
strong,2,17,0.1947434816855209,1
strong,2,18,0.12461559586917281,3
strong,2,19,0.7249021395721711,1
strong,2,20,0.3421226745934739,0
strong,2,21,0.1372327961336246,0
strong,2,22,0.27415907466561285,0
strong,2,23,0.7357551068338924,0
strong,2,24,1.4195968121716276,0
strong,2,25,0.3690266363868424,2
strong,2,26,0.5716596821929688,0
strong,2,27,0.6022471409750441,0
strong,2,28,0.11497869723032439,0
strong,2,29,0.2489945448432681,0
strong,2,30,0.3133084271080284,0
strong,2,31,0.08468410452897601,2
strong,2,32,0.5926644159265516,0
strong,2,33,0.2664735503655101,0
strong,2,34,0.25790385819262307,2
strong,2,35,0.028029312723613642,4
strong,2,36,0.728385429621991,1
strong,2,37,0.5009766475083575,1
strong,2,38,0.24347388104877665,2
strong,2,39,0.7529470206435541,1
strong,2,40,0.026278758877733344,3
strong,2,41,0.2973519682269439,0
strong,2,42,0.6183650190026677,0
strong,2,43,0.48318390890935803,0
strong,2,44,0.0656468016008932,3
strong,2,45,0.23185056987351582,1
strong,2,46,0.07243842250519761,3
strong,2,47,0.10129587334843926,1
strong,2,48,0.27176111001649517,0
strong,2,49,0.25483317011050544,0
strong,2,50,0.14442693674321316,2
strong,2,51,0.23861955540160773,2
strong,2,52,0.2755197499646166,0
strong,2,53,0.19761226699188583,2
strong,2,54,0.2661133912493975,0
strong,2,55,0.6424670419810184,0
strong,2,56,0.4481640092864031,0
strong,2,57,0.6243008341916955,0
strong,2,58,0.14000816932107207,2
strong,2,59,0.14198335968800313,1
strong,2,60,0.2966993649575195,0
strong,2,61,0.07975658297708554,0
